2025-09-19 at 15:45:29 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:45:29 | INFO | Найдено 0 записей.
2025-09-19 at 15:45:40 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 15:45:40 | INFO | Найдено 3 записей.
2025-09-19 at 15:45:58 | INFO | Поиск Category с ID: 1
2025-09-19 at 15:45:58 | INFO | Запись с ID 1 найдена.
2025-09-19 at 15:46:03 | INFO | Добавление записи Product с параметрами: {'name': 'Продукт 1', 'description': 'Описание 1', 'price': 300, 'category_id': 1, 'file_id': None, 'hidden_content': 'Контент 1'}
2025-09-19 at 15:46:03 | INFO | Запись Product успешно добавлена.
2025-09-19 at 15:50:34 | ERROR | Бот остановлен!
2025-09-19 at 15:50:42 | INFO | Бот успешно запущен.
2025-09-19 at 15:50:43 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:50:43 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:50:46 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:50:46 | INFO | Найдено 0 записей.
2025-09-19 at 15:51:07 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 15:51:07 | INFO | Найдено 3 записей.
2025-09-19 at 15:56:43 | ERROR | Бот остановлен!
2025-09-19 at 15:56:49 | INFO | Бот успешно запущен.
2025-09-19 at 15:56:54 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:56:54 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:56:57 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:56:57 | INFO | Найдено 0 записей.
2025-09-19 at 15:57:04 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 15:57:04 | INFO | Найдено 3 записей.
2025-09-19 at 16:01:19 | ERROR | Бот остановлен!
2025-09-19 at 16:01:25 | INFO | Бот успешно запущен.
2025-09-19 at 16:01:27 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 16:01:27 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
